ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
400935,ENSG00000188263,IL17REL,IL17REL,uc003bje.3,IL17REL
400941,ENSG00000205837,LINC00487,LINC00487,uc061gjr.1,LINC00487
400945,ENSG00000236204,LINC01376,LINC01376,uc032nfz.1,LINC01376
400946,ENSG00000228784,LINC00954,LINC00954,uc002rde.3,LINC00954
400950,ENSG00000205086,LINC02898,LINC02898,uc002rsf.2,C2orf91
400952,ENSG00000205054,LINC01121,LINC01121,uc061itx.2,UNQ6975
400954,ENSG00000214595,EML6,EML6,uc288mpo.1,EML6
400957,ENSG00000228414,REL-DT,REL-DT,uc061jlk.2,LINC01185
400958,ENSG00000237638,LINC02245,LINC02245,uc061jue.1,LINC02245
400960,ENSG00000293616,PCBP1-AS1,PCBP1-AS1,uc061kcg.2,Linc-GALH
400961,ENSG00000124374,PAIP2B,PAIP2B,uc002shu.4,PAIP2B
400966,ENSG00000187627,RGPD1,RGPD1,uc285rwt.1,RGP1
400986,ENSG00000174501,ANKRD36C,ANKRD36C,uc061ltz.1,ANKRD36C
400997,ENSG00000204581,ACOXL-AS1,ACOXL-AS1,uc002tgs.3,ACOXL-AS1
401014,ENSG00000226674,TEX41,TEX41,uc287ltv.1,DKFZp686O1327
401022,ENSG00000224189,HAGLR,HAGLR,uc285shc.1,HOXD-AS1
401024,ENSG00000188738,FSIP2,FSIP2,uc061qle.2,SPGF34
401027,ENSG00000187944,C2orf66,C2orf66,uc002utv.6,IIDS6411
401036,ENSG00000182177,ASB18,ASB18,uc010znh.3,ASB-18
401039,ENSG00000227744,LINC01940,LINC01940,uc021vyx.1,LINC01940
401040,ENSG00000196758,LINC02991,LINC02991,uc002vym.2,LINC02991
401067,ENSG00000229972,IQCF3,IQCF3,uc021wyz.2,IQCF3
401074,ENSG00000242516,LINC00960,LINC00960,uc003dpu.5,LINC00960
401081,ENSG00000241224,C3orf85,C3orf85,uc062mhg.1,C3orf85
401082,ENSG00000228980,LINC01205,LINC01205,uc003dxr.2,LINC01205
401089,ENSG00000206262,FOXL2NB,FOXL2NB,uc003esx.3,C3orf72
401093,ENSG00000229619,MBNL1-AS1,MBNL1-AS1,uc011boe.5,MBNL1-AS1
401097,ENSG00000180044,C3orf80,C3orf80,uc021xgp.4,C3orf80
